CruiseID,RefLonGV,RefLatGV,RefDepthGV
1G+,-6.208,56.675,110.000000000002
2G+,-6.325,56.6955,50
3G+,-6.4085,56.7205,92.4999999999991
4G+,-6.525,56.733,97.5000000000004
5G+,-6.675,56.733,60
6G+,-6.875,56.733,90
7G+,-7.0835,56.733,155
8G+,-7.25,56.733,165
9G+,-7.4165,56.733,187.500000000001
10G+,-7.5835,56.733,162.5
11G+,-7.75,56.7455,80
12G+,-7.9165,56.7705,79.9999999999993
13G+,-8.0835,56.7955,115
14G+,-8.25,56.8225,125
T+,-8.4165,56.86,127.5
15G+,-8.6415,56.9165,125
S+,-8.8915,56.975,212.5
R+,-9.1085,57.025,399.999999999998
Q+,-9.267,57.0625,649.999999999995
Q1+,-9.367,57.0875,1100
P+,-9.5585,57.125,1650
O+,-9.875,57.1915,2000
N+,-10.2165,57.2665,2200
M+,-10.525,57.3335,2150
L+,-10.767,57.3835,1400
K+,-10.975,57.425,675
J+,-11.2,57.4585,650
I+,-11.425,57.475,1385
H+,-11.6915,57.4875,1910
G+,-12.05,57.5,1800
F+,-12.4415,57.5205,1725
E+,-12.75,57.5375,1325
D+,-12.9335,57.546,664.999999999995
C+,-13.1665,57.5585,265
B+,-13.483,57.575,150
A+,-13.7665,57.625,125
IB1+,-14.075,57.734,185
IB1A+,-14.4165,57.8755,330
IB2+,-14.7715,58.011,520
IB2A+,-15.1465,58.161,630
IB3+,-15.4995,58.2965,860.000000000001
IB3A+,-15.833,58.4215,1125
IB4+,-16.1245,58.533,1155
IB4A+,-16.375,58.6135,1145
IB4B+,-16.6255,58.709,1155
IB4C+,-16.875,58.82,1150
IB5+,-17.0915,58.9165,1025
IB6+,-17.425,59.0335,930
IB7+,-17.775,59.1585,1270
IB8+,-18.058,59.2665,1720
IB9+,-18.325,59.3665,2145
IB10+,-18.767,59.5335,2555
IB11+,-19.3085,59.738,2695
IB11A+,-19.75,59.9045,2715
IB12+,-20,60.125,2665
IB12A+,-20,60.375,2565
IB13+,-20,60.625,2515
IB13A+,-20,60.875,2454.5
IB14+,-20,61.125,2394.5
IB15+,-20,61.375,2305
IB16+,-20,61.625,2015
IB16A+,-20,61.875,1800
IB17+,-19.917,62.1665,1795
IB18S+,-19.751,62.5,1730
IB19S+,-19.6095,62.792,1535
IB20S+,-19.7335,63.025,1215
IB21S+,-19.9915,63.1745,850
IB22S+,-20.141,63.2665,395
