CruiseID,Staname,Refdist,Lon,Lat,ZLoNM
d22396,1G,1307.56353281898,NaN,NaN,NaN
d22396,2G,1298.23534273729,NaN,NaN,NaN
d22396,3G,1292.40564942374,NaN,NaN,NaN
d22396,4G,1286.63247366146,NaN,NaN,NaN
d22396,5G,1277.48938666502,NaN,NaN,NaN
d22396,6G,1268.34629966858,NaN,NaN,NaN
d22396,7G,1253.10782134119,NaN,NaN,NaN
d22396,8G,1242.92851781848,NaN,NaN,NaN
d22396,9G,1232.81016820909,NaN,NaN,NaN
d22396,10G,1222.63086468639,NaN,NaN,NaN
d22396,11G,1212.45156116369,NaN,NaN,NaN
d22396,12G,1201.96203319506,NaN,NaN,NaN
d22396,13G,1191.42026780043,-8.00669997930527,56.7841999530792,115
d22396,14G,1180.88503680959,NaN,NaN,115
d22396,T,1170.28889756204,-8.33759999275208,56.8367999792099,115
d22396,15G,1158.92904037627,-8.50359997153282,56.8839999437332,115
d22396,S,1140.21838880631,-8.78200498223305,56.9528229236603,115
d22396,R,1125.95044975225,-8.99619999527931,57.0006999969482,125
d22396,Q,1111.6987638504,-9.21259999275208,57.0537999868393,285
d22396,Q1,1105.04885023617,NaN,NaN,285
d22396,P,1098.40263404158,-9.44389998912811,57.1229999065399,1285
d22396,O,1080.45151912432,-9.68879997730255,57.1405999660492,1255
d22396,N,1057.44863106107,-10.0736719965935,57.2268559932709,1255
d22396,M,1036.09970966971,-10.373299986124,57.3065999746323,1285
d22396,L,1017.51030621173,-10.6541999876499,57.3592998981476,785
d22396,K,1004.98258370098,-10.8630769848824,57.3958059549332,565
d22396,J,990.916114736166,-11.1000999808311,57.4496999979019,565
d22396,I,976.802337560184,-11.3150999844074,57.47369992733,725
d22396,H,963.775388196627,-11.5175999999046,57.4912999868393,1295
d22396,G,944.816112154296,-11.8232999742031,57.4927999973297,1305
d22396,F,920.868130769674,-12.2496999800205,57.5193998813629,1255
d22396,E,897.845843047029,-12.61519998312,57.5301998853683,1075
d22396,D,883.853506421104,-12.867682993412,57.5411379337311,285
d22396,C,875.873120101474,-13.0095999836922,57.549299955368,165
d22396,B,855.933634197848,-13.3369999825954,57.5681999921799,105
d22396,A,837.970828714088,-13.6363999843597,57.567999958992,NaN
d22396,IB1,819.545111972131,NaN,NaN,NaN
d22396,IB1A,793.995224990068,NaN,NaN,NaN
d22396,IB2,768.27939957934,NaN,NaN,NaN
d22396,IB2A,742.273675024082,NaN,NaN,NaN
d22396,IB3,712.789677405983,NaN,NaN,NaN
d22396,IB3A,690.768345901829,NaN,NaN,NaN
d22396,IB4,664.651459068452,NaN,NaN,NaN
d22396,IB4A,648.452785421836,NaN,NaN,NaN
d22396,IB4B,630.449315163777,NaN,NaN,NaN
d22396,IB4C,612.551946037453,NaN,NaN,NaN
d22396,IB5,592.479887802376,NaN,NaN,NaN
d22396,IB6,579.609352138896,NaN,NaN,NaN
d22396,IB7,546.290424805128,NaN,NaN,NaN
d22396,IB8,530.912694869861,NaN,NaN,NaN
d22396,IB9,506.144640528667,NaN,NaN,NaN
d22396,IB10,493.339669117095,NaN,NaN,NaN
d22396,IB11,443.986856105631,NaN,NaN,NaN
d22396,IB11A,417.360064112562,NaN,NaN,NaN
d22396,IB12,382.336595350603,NaN,NaN,NaN
d22396,IB12A,354.556595350603,NaN,NaN,NaN
d22396,IB13,326.776595350603,NaN,NaN,NaN
d22396,IB13A,298.996595350603,NaN,NaN,NaN
d22396,IB14,271.216595350603,NaN,NaN,NaN
d22396,IB15,243.436595350603,NaN,NaN,NaN
d22396,IB16,215.656595350603,NaN,NaN,NaN
d22396,IB16A,187.876595350603,NaN,NaN,NaN
d22396,IB17,160.096595350603,NaN,NaN,NaN
d22396,IB18S,122.104574100478,NaN,NaN,NaN
d22396,IB19S,84.0256998800135,NaN,NaN,NaN
d22396,IB20S,55.6168306566349,NaN,NaN,NaN
d22396,IB21S,25.3751105095541,NaN,NaN,NaN
d22396,IB22S,13.4420441911282,NaN,NaN,NaN
d22396,IB23S,0,NaN,NaN,NaN
d23097,1G,1307.56353281898,NaN,NaN,NaN
d23097,2G,1298.23534273729,NaN,NaN,NaN
d23097,3G,1292.40564942374,NaN,NaN,NaN
d23097,4G,1286.63247366146,NaN,NaN,NaN
d23097,5G,1277.48938666502,NaN,NaN,NaN
d23097,6G,1268.34629966858,NaN,NaN,NaN
d23097,7G,1253.10782134119,NaN,NaN,NaN
d23097,8G,1242.92851781848,NaN,NaN,NaN
d23097,9G,1232.81016820909,NaN,NaN,NaN
d23097,10G,1222.63086468639,NaN,NaN,NaN
d23097,11G,1212.45156116369,NaN,NaN,NaN
d23097,12G,1201.96203319506,NaN,NaN,NaN
d23097,13G,1191.42026780043,NaN,NaN,NaN
d23097,14G,1180.88503680959,NaN,NaN,NaN
d23097,T,1170.28889756204,-8.33305597305298,56.8365139961243,NaN
d23097,15G,1158.92904037627,NaN,NaN,NaN
d23097,S,1140.21838880631,NaN,NaN,NaN
d23097,R,1125.95044975225,-8.98941299319267,56.9977079629898,115
d23097,Q,1111.6987638504,-9.21378898620605,57.0492309331894,295
d23097,Q1,1105.04885023617,NaN,NaN,295
d23097,P,1098.40263404158,-9.4102009832859,57.0963079929352,1255
d23097,O,1080.45151912432,-9.71032199263573,57.1534769535065,1285
d23097,N,1057.44863106107,NaN,NaN,1325
d23097,M,1036.09970966971,-10.3908779919147,57.28708589077,NaN
d23097,L,1017.51030621173,NaN,NaN,NaN
d23097,K,1004.98258370098,NaN,NaN,NaN
d23097,J,990.916114736166,-11.0807219743729,57.4495729207993,585
d23097,I,976.802337560184,NaN,NaN,585
d23097,H,963.775388196627,-11.5302059948444,57.4861339330673,1295
d23097,G,944.816112154296,NaN,NaN,1235
d23097,F,920.868130769674,-12.2694349884987,57.5042868852615,1035
d23097,E,897.845843047029,NaN,NaN,1035
d23097,D,883.853506421104,-12.8714669942856,57.5496439933777,NaN
d23097,C,875.873120101474,NaN,NaN,NaN
d23097,B,855.933634197848,NaN,NaN,NaN
d23097,A,837.970828714088,-13.6134959757328,57.5548129081726,105
d23097,IB1,819.545111972131,-13.946809977293,57.695659995079,145
d23097,IB1A,793.995224990068,NaN,NaN,145
d23097,IB2,768.27939957934,-14.6330309808254,57.9557839632034,435
d23097,IB2A,742.273675024082,NaN,NaN,455
d23097,IB3,712.789677405983,-15.3658589720726,58.2499109506607,NaN
d23097,IB3A,690.768345901829,NaN,NaN,NaN
d23097,IB4,664.651459068452,NaN,NaN,NaN
d23097,IB4A,648.452785421836,-16.1718989610672,58.5595529079437,NaN
d23097,IB4B,630.449315163777,NaN,NaN,NaN
d23097,IB4C,612.551946037453,NaN,NaN,NaN
d23097,IB5,592.479887802376,-17.0062529444695,58.8619709014893,835
d23097,IB6,579.609352138896,-17.2322009801865,58.9486569166183,835
d23097,IB7,546.290424805128,-17.6649809479713,59.1259889602661,985
d23097,IB8,530.912694869861,-17.894436955452,59.2061989307404,1545
d23097,IB9,506.144640528667,-18.2654569745064,59.3407479524612,1885
d23097,IB10,493.339669117095,-18.4211459755898,59.4024239778519,2435
d23097,IB11,443.986856105631,-19.1491529941559,59.672639966011,2695
d23097,IB11A,417.360064112562,NaN,NaN,2705
d23097,IB12,382.336595350603,-20.001188993454,59.9968008995056,NaN
d23097,IB12A,354.556595350603,NaN,NaN,NaN
d23097,IB13,326.776595350603,NaN,NaN,NaN
d23097,IB13A,298.996595350603,NaN,NaN,NaN
d23097,IB14,271.216595350603,NaN,NaN,NaN
d23097,IB15,243.436595350603,-20.0052309632301,61.2896549701691,NaN
d23097,IB16,215.656595350603,NaN,NaN,NaN
d23097,IB16A,187.876595350603,NaN,NaN,NaN
d23097,IB17,160.096595350603,-19.9886709451675,61.9655479192734,NaN
d23097,IB18S,122.104574100478,NaN,NaN,NaN
d23097,IB19S,84.0256998800135,NaN,NaN,NaN
d23097,IB20S,55.6168306566349,NaN,NaN,NaN
d23097,IB21S,25.3751105095541,NaN,NaN,NaN
d23097,IB22S,13.4420441911282,-20.054779946804,63.22583091259,NaN
d23097,IB23S,0,NaN,NaN,NaN
d23398,1G,1307.56353281898,NaN,NaN,NaN
d23398,2G,1298.23534273729,NaN,NaN,NaN
d23398,3G,1292.40564942374,NaN,NaN,NaN
d23398,4G,1286.63247366146,NaN,NaN,NaN
