Staname,Refdist,LonSta,LatSta,DepthSta
1G,1307.56353281898,-6.133,56.667,190
2G,1298.23534273729,-6.283,56.683,30
3G,1292.40564942374,-6.367,56.708,70
4G,1286.63247366146,-6.45,56.733,115
5G,1277.48938666502,-6.6,56.733,80
6G,1268.34629966858,-6.75,56.733,40
7G,1253.10782134119,-7,56.733,140
8G,1242.92851781848,-7.167,56.733,170
9G,1232.81016820909,-7.333,56.733,160
10G,1222.63086468639,-7.5,56.733,215
11G,1212.45156116369,-7.667,56.733,110
12G,1201.96203319506,-7.833,56.758,50
13G,1191.42026780043,-8,56.783,110
14G,1180.88503680959,-8.167,56.808,120
T,1170.28889756204,-8.333,56.837,130
15G,1158.92904037627,-8.5,56.883,125
S,1140.21838880631,-8.783,56.95,125
R,1125.95044975225,-9,57,300
Q,1111.6987638504,-9.217,57.05,500
Q1,1105.04885023617,-9.317,57.075,800
P,1098.40263404158,-9.417,57.1,1400
O,1080.45151912432,-9.7,57.15,1900
N,1057.44863106107,-10.05,57.233,2100
M,1036.09970966971,-10.383,57.3,2300
L,1017.51030621173,-10.667,57.367,2000
K,1004.98258370098,-10.867,57.4,800
J,990.916114736166,-11.083,57.45,550
I,976.802337560184,-11.317,57.467,750
H,963.775388196627,-11.533,57.483,2020
G,944.816112154296,-11.85,57.492,1800
F,920.868130769674,-12.25,57.508,1800
E,897.845843047029,-12.633,57.533,1650
D,883.853506421104,-12.867,57.542,1000
C,875.873120101474,-13,57.55,330
B,855.933634197848,-13.333,57.567,200
A,837.970828714088,-13.633,57.583,100
IB1,819.545111972131,-13.9,57.667,150
IB1A,793.995224990068,-14.25,57.801,220
IB2,768.27939957934,-14.583,57.95,440
IB2A,742.273675024082,-14.96,58.072,600
IB3,712.789677405983,-15.333,58.25,660
IB3A,690.768345901829,-15.666,58.343,1060
IB4,664.651459068452,-16,58.5,1190
IB4A,648.452785421836,-16.249,58.566,1120
IB4B,630.449315163777,-16.501,58.661,1170
IB4C,612.551946037453,-16.75,58.757,1140
IB5,592.479887802376,-17,58.883,1160
IB6,579.609352138896,-17.183,58.95,890
IB7,546.290424805128,-17.667,59.117,970
IB8,530.912694869861,-17.883,59.2,1570
IB9,506.144640528667,-18.233,59.333,1870
IB10,493.339669117095,-18.417,59.4,2420
IB11,443.986856105631,-19.117,59.667,2690
IB11A,417.360064112562,-19.5,59.809,2700
IB12,382.336595350603,-20,60,2730
IB12A,354.556595350603,-20,60.25,2600
IB13,326.776595350603,-20,60.5,2530
IB13A,298.996595350603,-20,60.75,2500
IB14,271.216595350603,-20,61,2409
IB15,243.436595350603,-20,61.25,2380
IB16,215.656595350603,-20,61.5,2230
IB16A,187.876595350603,-20,61.75,1800
IB17,160.096595350603,-20,62,1800
IB18S,122.104574100478,-19.834,62.333,1790
IB19S,84.0256998800135,-19.668,62.667,1670
IB20S,55.6168306566349,-19.551,62.917,1400
IB21S,25.3751105095541,-19.916,63.133,1030
IB22S,13.4420441911282,-20.067,63.216,670
IB23S,0,-20.215,63.317,120
