Staname,Refdist,RefLonGV,RefLatGV,RefDepthGV
1G+,1302.89943777813,-6.208,56.675,110.000000000002
2G+,1295.32049608051,-6.325,56.6955,50
3G+,1289.5190615426,-6.4085,56.7205,92.4999999999991
4G+,1282.06093016324,-6.525,56.733,97.5000000000004
5G+,1272.9178431668,-6.675,56.733,60
6G+,1260.72706050488,-6.875,56.733,90
7G+,1248.01816957983,-7.0835,56.733,155
8G+,1237.86934301379,-7.25,56.733,165
9G+,1227.72051644774,-7.4165,56.733,187.500000000001
10G+,1217.54121292504,-7.5835,56.733,162.5
11G+,1207.20679717937,-7.75,56.7455,80
12G+,1196.69115049774,-7.9165,56.7705,79.9999999999993
13G+,1186.15265230501,-8.0835,56.7955,115
14G+,1175.58696718581,-8.25,56.8225,125
T+,1164.60896896915,-8.4165,56.86,127.5
15G+,1149.57371459129,-8.6415,56.9165,125
S+,1133.08441927928,-8.8915,56.975,212.5
R+,1118.82460680132,-9.1085,57.025,399.999999999998
Q+,1108.37380704328,-9.267,57.0625,649.999999999995
Q1+,1101.72574213887,-9.367,57.0875,1100
P+,1089.42707658295,-9.5585,57.125,1650
O+,1068.9500750927,-9.875,57.1915,2000
N+,1046.77417036539,-10.2165,57.2665,2200
M+,1026.80500794072,-10.525,57.3335,2150
L+,1011.24644495635,-10.767,57.3835,1400
K+,997.949349218572,-10.975,57.425,675
J+,983.859226148175,-11.2,57.4585,650
I+,970.288862878406,-11.425,57.475,1385
H+,954.295750175461,-11.6915,57.4875,1910
G+,932.842121461985,-12.05,57.5,1800
F+,909.356986908352,-12.4415,57.5205,1725
E+,890.849674734066,-12.75,57.5375,1325
D+,879.863313261289,-12.9335,57.546,664.999999999995
C+,865.903377149661,-13.1665,57.5585,265
B+,846.952231455968,-13.483,57.575,150
A+,828.757970343109,-13.7665,57.625,125
IB1+,806.770168481099,-14.075,57.734,185
IB1A+,781.137312284704,-14.4165,57.8755,330
IB2+,755.276537301711,-14.7715,58.011,520
IB2A+,727.531676215033,-15.1465,58.161,630
IB3+,701.779011653906,-15.4995,58.2965,860.000000000001
IB3A+,677.70990248514,-15.833,58.4215,1125
IB4+,656.552122245144,-16.1245,58.533,1155
IB4A+,639.451050292806,-16.375,58.6135,1145
IB4B+,621.500630600615,-16.6255,58.709,1155
IB4C+,602.515916919915,-16.875,58.82,1150
IB5+,586.044619970636,-17.0915,58.9165,1025
IB6+,562.949888472012,-17.425,59.0335,930
IB7+,538.601559837495,-17.775,59.1585,1270
IB8+,518.528667699264,-18.058,59.2665,1720
IB9+,499.742154822881,-18.325,59.3665,2145
IB10+,468.663262611363,-18.767,59.5335,2555
IB11+,430.673460109097,-19.3085,59.738,2695
IB11A+,399.848329731582,-19.75,59.9045,2715
IB12+,368.446595350603,-20,60.125,2665
IB12A+,340.666595350603,-20,60.375,2565
IB13+,312.886595350603,-20,60.625,2515
IB13A+,285.106595350603,-20,60.875,2454.5
IB14+,257.326595350603,-20,61.125,2394.5
IB15+,229.546595350603,-20,61.375,2305
IB16+,201.766595350603,-20,61.625,2015
IB16A+,173.986595350603,-20,61.875,1800
IB17+,141.10058472554,-19.917,62.1665,1795
IB18S+,103.065136990246,-19.751,62.5,1730
IB19S+,69.8212652683242,-19.6095,62.792,1535
IB20S+,40.4959705830945,-19.7335,63.025,1215
IB21S+,19.4085773503411,-19.9915,63.1745,850
IB22S+,6.72102209556408,-20.141,63.2665,395
